t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 13: solute
39915.450828310015,1212206134960263.2,76456468171892.88,268072312630835.56,-1314532326.0720754,-387997344992.88513,-145914316468.65573,2.681937729781144e-26
40824.54173740093,1221773248352045.5,78306974700609.62,277821841871040.75,-1335788948.2746997,-388109808416.2823,-145934637421.36008,3.12610740512639e-26
41824.54173740093,1232056832234227.5,80327825400963.66,288584817371628.44,-1358362872.3463678,-388229760938.2713,-145956160351.9482,3.681075039762071e-26
42733.63264649184,1241216239149638.0,82153035302995.28,298396852651965.25,-1378255097.1259294,-388335890216.17334,-145975079088.77844,4.2432989501562756e-26
43560.07892748358,1249393044450044.5,83802624428948.38,307336594928078.7,-1395845818.7014804,-388430089150.3502,-145991769577.6001,4.8038026271547334e-26
44469.16983657449,1258214233687571.0,85605653906285.44,317190413529597.7,-1414631393.5662267,-388531105214.6209,-146009546928.02866,5.481529017740038e-26
45469.16983657449,1267717900422435.8,87575313358620.16,328049323535359.56,-1434654378.8649147,-388639266509.5383,-146028437802.5402,6.301303681979351e-26
46569.16983657449,1277942737104855.2,89725725814355.38,340012331638545.94,-1455955694.173201,-388754899718.8178,-146048462963.31735,7.29024480292084e-26
47569.16983657449,1287057289857566.0,91667482239322.36,350898910651763.9,-1474760501.6255445,-388857417404.48975,-146066077732.47327,8.256824455371116e-26
48478.2607456654,1295199978213840.8,93422003641413.4,360802235045553.56,-1491419185.6294935,-388948575125.2343,-146081627304.19888,9.185982892569017e-26
49304.70702665714,1302488360046434.0,95008290365148.88,369808633595041.5,-1506221014.5799453,-389029837676.59357,-146095396612.81708,1.0066813513359442e-25
50213.79793574805,1310373002282870.8,96742790395364.38,379717351031638.25,-1522110067.0885522,-389117376861.3456,-146110119914.20764,1.1069594215923813e-25
51040.24421673979,1317435158230377.8,98311108940328.6,388724962853150.5,-1536246685.9328804,-389195496800.34314,-146123169839.66492,1.1999965661258894e-25
51949.3351258307,1325080484631521.2,100026111178213.38,398630847975486.8,-1551443208.8842163,-389279744157.8134,-146137137775.34586,1.3030931642582668e-25
52949.3351258307,1333347519534149.8,101900505601570.19,409521707292893.9,-1567755502.7684634,-389370480413.4535,-146152056869.48947,1.4149718266898266e-25
54049.3351258307,1342275973053024.0,103947902870933.98,421491665872286.56,-1585240299.777225,-389468073145.2671,-146167956551.33286,1.5323316535390938e-25
55049.3351258307,1350261472078826.0,105797394207016.19,432362960309028.9,-1600779114.0048292,-389555048567.8214,-146182007812.45026,1.6310319581198652e-25
56149.3351258307,1358893306669903.5,107817773232931.66,444305963087635.2,-1617464953.4886448,-389648716532.9786,-146197000814.5832,1.7251568132517906e-25
57149.3351258307,1366619327479611.8,109642996512323.33,455148581217424.3,-1632316951.1802247,-389732286672.22205,-146210264919.02032,1.795038365047682e-25
